"success_rate","is_txn_conflicted","card_issuer_country","priority_logic_tag","udf6","txn_latency_enum","payment_method_type"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","636a5e43-c200-49f9-8a65-ab002d6f","0M-1M","CARD"
100,"RESOLVED",NA,NA,"4999.92","0M-1M","UPI"
100,"RESOLVED","INDIA","CARD ONLY DUMMY PG",NA,"0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930864105","0M-1M","CARD"
0,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022199_ig","5M-6M","NB"
100,"RESOLVED","United Arab Emirates","ark-test-v1-copy-V3",NA,"1M-2M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","i434808r3q8w","0M-1M","NB"
100,"RESOLVED",NA,NA,"07278ab9-def8-4746-9","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-8a1de2d4-f5d6-4c36-a3b2-06ab","0M-1M","NB"
0,NA,"UNITED STATES OF AMERICA","UPI MANDATE 30% Razorpay 30%PAYU 30% YESBIZ",NA,"0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","2ij0xjtw7ad5","0M-1M","NB"
0,NA,"INDIA",NA,"Y","0M-1M","CARD"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022703_oB","0M-1M","NB"
0,"RESOLVED",NA,"ABSLI UAT Priority logic 0912025 TPSL Zara_Bot",NA,"9M-10M","NB"
0,"RESOLVED","INDIA","PayU - 100%","1930873276","10M-1H","CARD"
0,"RESOLVED",NA,"PayU PL 2",NA,"0M-1M","UPI"
0,"RESOLVED","UNITED STATES OF AMERICA",NA,"udf6","10M-1H","CARD"
100,"RESOLVED",NA,NA,"epn_5msIkXTPaUfCj5yY1M","0M-1M","NB"
100,"RESOLVED",NA,NA,"epn_5mul42GUX3jhxPshmF","0M-1M","UPI"
100,"RESOLVED","INDIA",NA,"663","0M-1M","CARD"
0,"MATCH",NA,"wallet pl 2",NA,"5M-6M","CARD"
100,"RESOLVED",NA,NA,"web","1M-2M","NB"
100,NA,"United Arab Emirates","mpgs 2",NA,"3M-4M","CARD"
100,"RESOLVED","United Arab Emirates","Test route",NA,"1M-2M","CARD"
0,NA,"United Arab Emirates","UPI_ROUTER","24804878-358b-4a90-9920-e8365f33","0M-1M","CARD"
0,"MATCH",NA,"PayU PL 2",NA,"10M-1H","UPI"
0,"MATCH",NA,NA,"IOS","1H-1D","NB"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","c7bc35b6-ef16-4f7a-92d2-ea6e4793","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates",NA,"ACKO Life Flexi Term Plan","0M-1M","CARD"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022703_Kn","0M-1M","NB"
0,"RESOLVED",NA,"TestPGUI",NA,"1M-2M","WALLET"
100,"RESOLVED",NA,NA,"3b1f224e-ace0-4c52-bb8b-f3011b33","0M-1M","NB"
0,NA,NA,"ABFRL New Priority Logic-3",NA,"0M-1M","UPI"
100,"RESOLVED",NA,NA,"epn_WmeKWXXqVRcLlQe","0M-1M","NB"
0,"MATCH",NA,"Cashfree (Debit) & Payu (Credit)",NA,"10M-1H","UPI"
0,"RESOLVED","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0881496996843560960","3M-4M","CARD"
100,"RESOLVED",NA,"UPI_ROUTER","9f01c508-23dc-40dc-883d-6daa6da8","0M-1M","NB"
0,"MATCH","United Arab Emirates","SI via Billdesk","android - mobile","0M-1M","CARD"
100,"RESOLVED",NA,"Cashfree (Debit) & Payu (Credit)","708","0M-1M","NB"
0,"RESOLVED",NA,"FIDO",NA,"4M-5M","UPI"
33.33,"RESOLVED",NA,"Cashfree + Payu",NA,"0M-1M","UPI"
100,"RESOLVED",NA,NA,"cd3b5257-79a6-58bd-9627-dce45a06","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930874548","0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"TPD","0M-1M","CARD"
100,"RESOLVED",NA,NA,"epn_5nj6pswhsuPHRJC","0M-1M","NB"
0,NA,"USA","Pinelabls_testing","1930860690","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930866394","3M-4M","CARD"
0,"RESOLVED",NA,NA,"80e5f25a-c816-4589-94ae-4b5ff760","0M-1M","NB"
0,"MATCH",NA,NA,"epn_5nlGYCfAAo9dlCL","10M-1H","UPI"
100,"RESOLVED","INDIA","Testing 31st","QPCOD_UPI_false","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930858084","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930875187","0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"TeleSales","1M-2M","CARD"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0880747276048486400","0M-1M","NB"
100,"RESOLVED","UNITEDSTATES","wallet pl 2",NA,"1M-2M","CARD"
0,"RESOLVED",NA,NA,"f27dc303-5ee8-451f-84ef-57c00798","10M-1H","UPI"
100,"RESOLVED",NA,NA,"IOS","1M-2M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","0488n8n2b41k","0M-1M","NB"
100,NA,NA,"UPI_ROUTER","ea6c3aea-72d6-46d0-b995-2b7837f2","0M-1M","CASH"
100,"RESOLVED","INDIA","UAT- Phase 1- Payment Rules-All LOBs-25/11/2025",NA,"6M-7M","CARD"
0,"RESOLVED",NA,"TPSL-AADHAAR","NA","3M-4M","UPI"
0,"RESOLVED",NA,NA,"c470d3fe-bfa1-457b-a157-08667ab9","0M-1M","NB"
100,"RESOLVED","United Arab Emirates","Test",NA,"5M-6M","CARD"
100,"RESOLVED",NA,NA,"RID-2452fed5-502d-4326-992a-bf51","0M-1M","NB"
0,NA,NA,"test 1",NA,"1D-3D","NB"
0,NA,"United Arab Emirates","Pinelabls_testing","1930861731","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871936","0M-1M","CARD"
100,"CONFLICTED",NA,"ScheduleTest",NA,"10M-1H","NB"
0,NA,"SAUDI ARABIA",NA,NA,"0M-1M","CARD"
nan,"RESOLVED",NA,"Cahsfree Testing","hbek3ikkgycn","3M-4M","NB"
0,"RESOLVED",NA,"Easebuzz Routing","CH14",">7D","NB"
100,"RESOLVED",NA,"FIDO",NA,"2M-3M","UPI"
100,"RESOLVED","USA","Pinelabls_testing","1930859354","0M-1M","CARD"
0,"RESOLVED",NA,NA,"335bcd0d-f458-4623-804c-b24cb978","0M-1M","NB"
100,"RESOLVED",NA,NA,"3f1cc8bd-7fff-4d8e-a","0M-1M","NB"
87.14,"RESOLVED","INDIA","wallet pl 2",NA,"0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"Bandhan Bank Limited","0M-1M","CARD"
0,NA,"INDIA",NA,"10094e4d-f6dd-4d9a-b9bc-8b64b9aa","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865656","0M-1M","CARD"
0,"RESOLVED",NA,NA,"android","1H-1D","UPI"
100,"RESOLVED",NA,NA,"RINGSICREVA","0M-1M","UPI"
0,"RESOLVED",NA,NA,"019b21fb-96a5-77a3-802a-c45edbf8","6M-7M","UPI"
100,"RESOLVED","INDIA",NA,"2764.07","0M-1M","CARD"
100,"RESOLVED",NA,"All_PG_Configuration",NA,"0M-1M","WALLET"
61.54,"RESOLVED",NA,"ABFRL New Priority Logic-3",NA,"5M-6M","NB"
100,NA,NA,NA,"show_address","0M-1M","MERCHANT_CONTAINER"
0,NA,"UNITED STATES OF AMERICA","TATA PA test",NA,"0M-1M","CARD"
0,"RESOLVED",NA,"Payglocal",NA,"7M-8M","UPI"
0,"RESOLVED",NA,"ABFRL New Priority Logic-3","INT","1M-2M","WALLET"
0,"MATCH","INDIA","Test - Jo",NA,"4M-5M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930870164","0M-1M","CARD"
100,"RESOLVED",NA,NA,"4985-20251212101057","0M-1M","NB"
0,"RESOLVED","INDIA","CashFree and PayU",NA,"4M-5M","CARD"
100,"RESOLVED",NA,NA,"RID-48853a2b-c4c5-4f0e-9467-2039","0M-1M","NB"
0,"MATCH","INDIA","hyperpg_testingv3","WEB","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930863171","0M-1M","CARD"
100,"RESOLVED",NA,NA,"RID-7525157d-a080-439b-8aac-7243","3M-4M","UPI"
100,"CONFLICTED",NA,"cashfree",NA,"9M-10M","NB"
0,"MATCH","UNITED STATES OF AMERICA","All_PG_Configuration","IN","1M-2M","CARD"
100,"RESOLVED",NA,NA,"eb4aa257-802e-4893-95c4-ef1ed621","0M-1M","NB"
100,"RESOLVED",NA,NA,"app - Upsurge, item - Options Tr","0M-1M","NB"
100,NA,NA,NA,"A30","0M-1M","CASH"
3.7,"RESOLVED","INDIA",NA,"udf6","3M-4M","CARD"
90.91,"RESOLVED","INDIA",NA,"Y","0M-1M","CARD"
0,"RESOLVED","INDIA","PayU - 100%","1930873777","10M-1H","CARD"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","52a35e9f-dbdd-4e6b-9f98-a5cbd93c","0M-1M","CARD"
100,"RESOLVED",NA,NA,"76378e67-4a72-4807-a","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","ykj7s8f6n887","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876872","0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"37327e94-b647-4bee-8334-469fccb0","0M-1M","CARD"
0,"MATCH","INDIA",NA,"FAID","6M-7M","CARD"
100,"RESOLVED",NA,NA,"6e141f8a-d587-43be-a366-0a387e79","0M-1M","NB"
100,"RESOLVED",NA,NA,"web","9M-10M","UPI"
100,"RESOLVED","INDIA",NA,"55f45809-b1ae-4c36-adc6-5511ab69","0M-1M","CARD"
0,"RESOLVED",NA,"Payglocal",NA,"1M-2M","UPI"
0,"RESOLVED",NA,NA,"ax2756i","0M-1M","CONSUMER_FINANCE"
0,"RESOLVED",NA,"Cahsfree Testing","gxsg7q23zzhr","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871707","0M-1M","CARD"
0,"MATCH","NAMIBIA",NA,NA,"3M-4M","CARD"
100,"RESOLVED",NA,NA,"RID-b002c8e7-4f13-4088-b370-8836","0M-1M","NB"
64.5,"RESOLVED",NA,NA,NA,"1D-3D","UPI"
91.67,"RESOLVED","INDIA",NA,"OTHER","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930855856","0M-1M","CARD"
0,"RESOLVED",NA,"Testing 31st",NA,"1D-3D","NB"
0,NA,NA,NA,"ios","0M-1M","WALLET"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","c65484e8-ef2e-455c-a0c5-7e9e9c9c","0M-1M","CARD"
0,"MATCH",NA,NA,"d128","0M-1M","WALLET"
0,NA,NA,NA,"epn_KNo3LhdDcgAQS6K","7M-8M","CONSUMER_FINANCE"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865695","0M-1M","CARD"
100,"RESOLVED",NA,NA,"913063e8-4fe2-4e54-877a-c2b906a6","0M-1M","NB"
0,"RESOLVED","INDIA","Test route",NA,"1M-2M","CARD"
100,"RESOLVED",NA,NA,"92f12e10-7ef7-42c1-a","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"971cf0e3-6611-4cd3-852e-cbec669d","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","c67wba5g9ee6","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930870010","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","ry480b4nnp3m","0M-1M","NB"
100,"RESOLVED",NA,NA,"28ad4c5e-6579-5d2a-a0a0-22c079e1","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","apt23k375svy","0M-1M","NB"
90,NA,NA,NA,"pzqg279wnmBAH5coF@W8lYheFdIH@6WX","0M-1M","MERCHANT_CONTAINER"
0,NA,NA,"Pinelabls_testing","1930856409","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871708","0M-1M","CARD"
0,"RESOLVED",NA,"Cahsfree Testing","szm3femlua0p","2M-3M","UPI"
0,"RESOLVED",NA,NA,"6884edd6-f750-4b56-9bfd-b29fc91a","10M-1H","UPI"
0,NA,NA,"Pinelabls_testing","1930862683","0M-1M","NB"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","5ed76b76-76f2-4b54-aecc-0080e5a6","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930856827","0M-1M","CARD"
100,"RESOLVED",NA,NA,"a8b159b4-1b89-44c2-8a9a-aac4c037","0M-1M","NB"
100,"RESOLVED",NA,NA,"epn_5m2MzpRLDrvDxFT","0M-1M","NB"
0,NA,"USA","Pinelabls_testing","1930858726","0M-1M","CARD"
0,"RESOLVED",NA,NA,"epn_5nbECcbU4gP3VKDjRW","10M-1H","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930861075","1M-2M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","i6vwhf3lx8ku","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871638","0M-1M","CARD"
100,NA,NA,"UPI_ROUTER","ead9f868-729f-4355-a967-0995853f","0M-1M","CASH"
0,"MATCH",NA,"Cashfree September 2025 Test",NA,"1M-2M","NB"
0,"MATCH","United Arab Emirates",NA,"mwebandroid","10M-1H","CARD"
0,"RESOLVED","INDIA","Pinelabls_testing","1930865674","3M-4M","CARD"
0,"RESOLVED",NA,NA,"dbe348ca-ba68-4832-8c3e-fdf0eaae","10M-1H","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","yu6k3zxav25m","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"GIF1764153022355","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930861339","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865472","0M-1M","CARD"
100,"RESOLVED",NA,NA,"86c44685-a556-467b-a739-29929f19","0M-1M","NB"
0,NA,NA,"Pinelabls_testing","1930862673","0M-1M","NB"
0,"MATCH",NA,NA,"IOS","10M-1H","WALLET"
100,"RESOLVED",NA,"PL4","6932fafdcff32f8ec3f92257","0M-1M","WALLET"
0,"RESOLVED",NA,"Cahsfree Testing","1j228wh8mh47","1M-2M","NB"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0885497638455795712","0M-1M","NB"
100,"RESOLVED",NA,NA,"epn_xuA4mhYUb2m0akj","0M-1M","UPI"
100,"RESOLVED","INDIA","Pinelabls_testing","1930875100","0M-1M","CARD"
0,"RESOLVED",NA,NA,"b598748e-3654-40a8-b940-6cb86497","0M-1M","NB"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","e3930c2d-cd55-4c12-8576-6c2b1d6f","0M-1M","CARD"
0,"RESOLVED",NA,"Standard EMI via PayU","CROMA","10M-1H","NB"
100,"RESOLVED",NA,NA,"721b8b38-096e-44ea-9ed9-76c6a758","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","zuvxw70bv5pr","0M-1M","NB"
0,"RESOLVED",NA,"Easebuzz Routing","CH14","3M-4M","CARD"
0,"MATCH",NA,NA,"epn_5nj92g1cJVbJKkY","10M-1H","UPI"
0,"RESOLVED",NA,"testing route","WAP","5M-6M","WALLET"
0,NA,NA,"Cahsfree Testing","u6octbhmn1v3, u6octbhmn1v3","0M-1M","NB"
100,"RESOLVED",NA,NA,"c536774e-eb76-45f9-a","0M-1M","NB"
0,NA,NA,"PayU - 100%","1930872366","0M-1M","NB"
0,NA,"UNITEDSTATES","wallet pl 2","udf6","0M-1M","CARD"
100,NA,"UNITED STATES OF AMERICA",NA,NA,"7M-8M","CARD"
100,"RESOLVED",NA,NA,"47758117-350d-4353-b6ca-b418db33","0M-1M","NB"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_4781498_X65","0M-1M","WALLET"
100,"RESOLVED",NA,NA,"epn_zGIVkIV4I524yvz","0M-1M","UPI"
0,"MATCH","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0882893504738062336","3M-4M","CARD"
100,"RESOLVED","UNITED STATES OF AMERICA","ABFRL New Priority Logic-3",NA,"0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","zh4wu9udiiw6","0M-1M","NB"
0,"MATCH",NA,NA,"epn_Gux1FD1lRI2gA7F","10M-1H","UPI"
100,"RESOLVED","INDIA","Pinelabls_testing","1930874763","0M-1M","CARD"
0,"RESOLVED","INDIA","ICICI_UPI Gateway test",NA,"5M-6M","CARD"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022703_xP","0M-1M","NB"
0,NA,NA,"ScheduleTest","eyJvcmRlcklkIjozNjc4NzYwLCJjbG90","0M-1M","NB"
0,"RESOLVED","UNITED STATES OF AMERICA","Current PL 07112025-copy-0","home_search_box","4M-5M","CARD"
100,"RESOLVED",NA,NA,"epn_5ndhM1Ummlm41eS","0M-1M","UPI"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022199_X6","5M-6M","UPI"
100,"RESOLVED",NA,NA,"994345bc-809c-5643-b1f9-b2e3c713","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","8niamlcznm4o","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"V2ViQXBwLTUwMENQ_10026786_sXH0mx","0M-1M","CARD"
50,"RESOLVED",NA,NA,"26eac04b-3241-41aa-b","0M-1M","NB"
100,"RESOLVED",NA,NA,"0226cad0-cfab-5b95-86bf-20423f48","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","7lsxbojg3b9m","0M-1M","NB"
100,"RESOLVED","USA",NA,"undefined","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","uzpnlv6md5rf","0M-1M","NB"
0.04,NA,NA,NA,NA,"10M-1H","UPI"
100,"RESOLVED","UNITEDSTATES","FIDO",NA,"0M-1M","CARD"
0,NA,"UNITEDKINGDOM","70% TAP",NA,"0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865055","0M-1M","CARD"
0,"MATCH","INDIA",NA,"R","0M-1M","CARD"
0,"RESOLVED",NA,"Cahsfree Testing","ezmnatb8nq1e","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","og802xv4zww3","0M-1M","NB"
100,"RESOLVED",NA,"ScheduleTest","eyJvcmRlcklkIjozNjc4ODgzLCJjbG90","0M-1M","WALLET"
100,NA,"United Arab Emirates",NA,NA,"4M-5M","CARD"
100,"RESOLVED",NA,NA,"6330-20251211122239","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"9231","0M-1M","CARD"
100,"RESOLVED",NA,NA,"epn_5mwYBH7PXNY3pbf","0M-1M","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","17z8hpudtnms","0M-1M","NB"
0,"MATCH","INDIA","UAT- Phase 1- Payment Rules-All LOBs-09-12-2025",NA,"0M-1M","CARD"
0,"RESOLVED",NA,"Easebuzz Routing",NA,"1M-2M","UPI"
0,"RESOLVED","INDIA",NA,"75688/false","5M-6M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869429","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930864742","0M-1M","CARD"
0,"MATCH",NA,NA,"epn_5mul42GUX3jhxPshmF","10M-1H","UPI"
0,"RESOLVED","INDIA","PayU - 100%","1930872361","10M-1H","CARD"
0,NA,"INDIA","Current PL 25072025",NA,"0M-1M","CARD"
0,"RESOLVED",NA,NA,"FAID114300811","0M-1M","UPI"
100,"RESOLVED","INDIA",NA,"V2ViQXBwLTUwMENQ_10026788_-W4ytV","0M-1M","CARD"
0,"MATCH","INDIA","Debit and Credit",NA,"1M-2M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869903","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930866532","0M-1M","CARD"
0,NA,"United Arab Emirates","UPI_ROUTER","dec73d01-0bfa-416f-8e80-06a19af8","0M-1M","CARD"
0,"MATCH",NA,NA,"Axis Bank","0M-1M","UPI"
33.33,"RESOLVED","INDIA","UPI_Paytm","150.00|3000.0|56|0|Direct Wallet","0M-1M","CARD"
0,"RESOLVED","United Arab Emirates",NA,"enable_quickpay","1M-2M","CARD"
100,"RESOLVED",NA,NA,"009b2606-3c6c-46ff-b","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"GIF1764138874438","0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"V2ViQXBwLTUwMENQ_10027073_pyHJkn","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930857040","0M-1M","CARD"
0,NA,NA,NA,"d134","0M-1M","NB"
0,NA,NA,"Pinelabls_testing","1930864939","0M-1M","NB"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022703_2i","0M-1M","NB"
0,"RESOLVED",NA,"Test - Jo",NA,"10M-1H","WALLET"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022786_lv","0M-1M","NB"
0,NA,"INDIA","Testing-Env-withstripe-enforcerule-pinelabs-copy-2",NA,"0M-1M","CARD"
40,"RESOLVED",NA,"newLTFS",NA,"0M-1M","UPI"
100,"RESOLVED","INDIA","Pinelabls_testing","1930870959","0M-1M","CARD"
0,"RESOLVED",NA,"Cahsfree Testing","xfix7zsntzfz","0M-1M","UPI"
0,"RESOLVED","USA",NA,"1930856375","3M-4M","CARD"
100,"RESOLVED",NA,NA,"RID-835cd357-5a06-4233-8e9b-ea8e","0M-1M","UPI"
100,"RESOLVED",NA,NA,"4512c9a8-b25a-46f2-a","0M-1M","NB"
0,"MATCH","United Arab Emirates","razorpay testing logic",NA,"3M-4M","CARD"
100,"RESOLVED",NA,"FIDO","udf6","1M-2M","CARD"
100,"RESOLVED","INDIA",NA,"9345","0M-1M","CARD"
0,"RESOLVED",NA,NA,"FAID114249930","1H-1D","UPI"
0,"RESOLVED",NA,"razorpay_cc_dc",NA,"3D-7D","UPI"
100,"RESOLVED",NA,NA,"epn_78deBNVJGYDz2wV","0M-1M","UPI"
100,"RESOLVED","INDIA",NA,"GFT23570516421","0M-1M","CARD"
0,"RESOLVED","INDIA",NA,"car|SO-Fortune-2526-002090|21000","3M-4M","CARD"
0,"MATCH",NA,"Test - Jo","udf6","1D-3D","NB"
0,"RESOLVED","POLAND","70% TAP",NA,"10M-1H","CARD"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022786_5n","0M-1M","NB"
100,"RESOLVED",NA,NA,"00D1e0000000MxJEAU","1M-2M","WALLET"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","e25a1ff5-065f-412d-9adc-868b8550","3M-4M","CARD"
100,"RESOLVED",NA,NA,"c7788c07-c202-4fab-ac8f-e5fd0227","0M-1M","UPI"
0,"RESOLVED",NA,"Cahsfree Testing","1fdsppdp5v89","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","042izq6umhyg","0M-1M","NB"
100,"RESOLVED",NA,NA,"7006100","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869948","0M-1M","CARD"
100,"RESOLVED",NA,NA,"udf6","0M-1M","NB"
100,"CONFLICTED","UNITED STATES OF AMERICA",NA,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpX","5M-6M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930875849","0M-1M","CARD"
0,"RESOLVED",NA,NA,"b0a29041-7bab-47f6-8679-2d823500","10M-1H","UPI"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","d6845da4-1085-4863-9370-4f1c93e1","0M-1M","CARD"
0,"RESOLVED",NA,NA,"c1419a3a-1131-42f6-a","1M-2M","NB"
0,NA,"INDIA",NA,"1000","0M-1M","CARD"
0,"RESOLVED",NA,"ABSLI UAT Priority logic 27112025 TPSL volume new",NA,"5M-6M","WALLET"
0,"RESOLVED",NA,NA,"019a9b9e-d216-78c2-9f56-5434328c","3M-4M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","1y34kkicmvfi","0M-1M","UPI"
100,"RESOLVED","INDIA","Pinelabls_testing","1930875563","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930861294","0M-1M","CARD"
100,"RESOLVED",NA,"FIDO",NA,"3M-4M","NB"
0,NA,NA,"Cahsfree Testing","4u8hpqfa7xwn","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-f912620e-3784-456d-b611-636b","0M-1M","NB"
100,"RESOLVED",NA,NA,"3baff2ac-94df-587f-98c3-a8fbf52b","0M-1M","NB"
0,"RESOLVED",NA,"Test - Jo",NA,"4M-5M","OTC"
100,"RESOLVED",NA,"Cahsfree Testing","mn7x2gehd66f","0M-1M","NB"
